age,height,income,sex_code,age_code,is_straight,is_gay_bi,is_white,is_asian,is_latin,is_black,is_islander,is_native,is_middle_eastern,is_indian,is_agnostic,is_catholic,is_atheist,is_non_catholic_christian,is_jewish,is_buddhist,is_hindu,is_muslim,high_income,middle_income,low_income,stem_career,health_career,law_career,artistic_career,education_career,business_career,financial_career,has_high_academic_degree,has_graduated,is_studying,has_chubby_body_type,has_fit_body_type,has_thin_body_type,has_average_body_type,eats_anything,eats_vegetarian,eats_vegan,eats_kosher,eats_halal,drinks_code,drugs_code,smokes_code,has_kids,has_no_kids,wants_kids,doesnt_want_kids,has_cats,has_dogs,likes_cats,likes_dogs,dislikes_cats,dislikes_dogs,essay_len,essay_count_words,essay_words_mean_length
21,70.0,1000000.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2.0,2.0,3.0,0,1,0,1,0,0,0,1,0,0,662,104,5.375
27,68.0,150000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,616,115,4.3478260869565215
27,68.0,150000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3886,705,4.513475177304964
50,73.0,80000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,1087,203,4.359605911330049
59,73.0,80000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,795,143,4.503496503496503
24,67.0,60000.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3003,528,4.6893939393939394
50,66.0,80000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,1,0,0,0,0,0,1,1,1,0,1202,218,4.518348623853211
26,63.0,20000.0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,2346,473,3.9619450317124736
26,68.0,70000.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,1995,348,4.735632183908046
29,72.0,250000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,0.0,2.0,0,0,0,1,0,1,1,0,1,0,3100,576,4.381944444444445
21,66.0,20000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,1536,257,4.976653696498055
27,74.0,30000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,442,87,4.091954022988506
28,67.0,150000.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,328,53,5.2075471698113205
37,79.0,50000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,2216,429,4.1678321678321675
28,61.0,20000.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,2722,468,4.818376068376068
42,71.0,150000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,3771,671,4.621460506706408
27,65.0,80000.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,171,30,4.5
33,70.0,1000000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3.0,1.0,0.0,0,0,0,0,0,0,1,1,0,0,1275,221,4.773755656108597
29,70.0,60000.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2.0,1.0,0.0,0,1,1,0,0,0,1,1,1,0,1287,247,4.2145748987854255
23,62.0,20000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.0,1.0,4.0,0,0,0,0,0,0,1,1,0,0,1998,349,4.724928366762177
66,65.0,40000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1712,307,4.570032573289902
33,68.0,80000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3914,653,4.993874425727412
53,62.0,100000.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,8359,1357,5.1606484893146645
35,67.0,30000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,1620,258,5.282945736434108
30,69.0,60000.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,4139,764,4.4188481675392675
29,80.0,80000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,651,117,4.572649572649572
32,61.0,100000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,3857,668,4.775449101796407
28,73.0,30000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,4058,738,4.5
34,62.0,60000.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,2.0,0,1,1,0,1,0,0,1,0,0,2577,428,5.021028037383178
39,72.0,50000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,574,106,4.4245283018867925
36,67.0,80000.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,777,155,4.012903225806451
50,64.0,70000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,3534,609,4.804597701149425
39,69.0,80000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,3177,591,4.377326565143824
42,64.0,80000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,5623,1020,4.513725490196078
47,69.0,50000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,855,151,4.66887417218543
26,76.0,20000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,2752,516,4.3352713178294575
28,73.0,80000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,916,158,4.753164556962025
34,66.0,1000000.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1817,304,4.973684210526316
33,64.0,40000.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,907,179,4.067039106145251
42,75.0,20000.0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,1.0,0,0,0,0,0,0,1,1,0,0,3260,558,4.844086021505376
32,68.0,60000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1209,239,4.062761506276151
45,68.0,80000.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,774,129,5.007751937984496
45,66.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,3716,681,4.458149779735683
22,70.0,40000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,451,81,4.567901234567901
61,63.0,70000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0,0.0,1.0,0,1,0,1,1,1,0,0,0,0,926,170,4.4411764705882355
34,65.0,150000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,3562,632,4.637658227848101
32,74.0,20000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,2569,510,4.035294117647059
34,68.0,40000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0,1,1,0,1,0,0,1,0,0,2612,524,3.986641221374046
32,72.0,30000.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,499,100,3.91
34,73.0,70000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,81,14,4.214285714285714
48,69.0,70000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,325,56,4.696428571428571
35,71.0,50000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,4803,804,4.975124378109452
32,72.0,40000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,1065,213,4.0
31,74.0,40000.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1243,229,4.432314410480349
45,70.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,3220,582,4.534364261168385
37,76.0,20000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1550,305,4.085245901639344
29,71.0,30000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,2.0,0,1,0,0,0,0,0,1,0,0,1079,178,5.067415730337078
22,91.0,150000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3.0,1.0,0.0,0,0,0,0,0,0,1,1,0,0,1157,206,4.616504854368932
30,70.0,60000.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,5161,812,5.357142857142857
25,72.0,150000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1149,200,4.74
30,72.0,50000.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3526,598,4.89799331103679
31,65.0,20000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,2.0,0.0,1,0,0,0,0,1,1,0,1,0,1117,192,4.822916666666667
47,76.0,60000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,2354,409,4.755501222493888
52,62.0,70000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1086,181,5.005524861878453
31,64.0,30000.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,2600,448,4.805803571428571
44,72.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,4835,838,4.770883054892601
47,66.0,100000.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,2816,494,4.702429149797571
33,70.0,100000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,1.0,1.0,0,0,0,0,0,0,1,1,0,0,1095,182,5.010989010989011
35,73.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1860,300,5.2
25,70.0,250000.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,799,136,4.860294117647059
24,72.0,20000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,3760,670,4.613432835820896
23,72.0,20000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.0,2.0,0.0,1,0,1,0,0,0,1,1,1,0,1240,239,4.192468619246862
23,66.0,20000.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,3314,604,4.48841059602649
59,64.0,60000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,1,0,1,0,0,0,1,1,1,1,118,22,4.0
27,70.0,30000.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,758,133,4.69172932330827
30,75.0,100000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,7185,1279,4.618451915559031
